;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utrikes födda efter län, kommun och födelseland 31 december 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Län;;Kön;Folk-;därav utrikes födda efter födelseland1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kommun;;mängd;Samtliga;I procent;Norden utom;därav;                                            ;                                            ;                                            ;EU28 utom Norden;;;Europa utom EU28 och Norden;;;                                            ;Afrika;                                            ;                                            ;Nord-amerika;Syd-amerika;Asien;                                            ;                                            ;                                            ;                                            ;                                            ;Oceanien;Sovjet-unionen;Okänt;;;;
;;;;;"av folk-
mängden";Sverige;Danmark;Finland;Island;Norge;;Polen;Tyskland;;Bosnien och Hercegovina;Jugo-slavien;Turkiet;;Eritrea;Somalia;;;;Afghan-istan;Irak;Iran;Syrien;Thailand;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riket;;Båda könen;10 230 185;1 955 569;19,1;235 633;40 011;147 883;5 992;41 747;369 743;92 759;51 140;259 177;59 395;65 124;49 948;219 914;42 300;68 678;40 116;72 467;745 271;51 979;144 035;77 386;185 991;42 394;6 236;5 508;1 504;;;;
;Mörbylånga;Kvinnor;7 586;635;8,4;85;14;55;1;15;155;44;28;70;15;17;1;18;2;-;13;9;283;29;1;13;98;66;2;-;-;;;;
;Mörbylånga;Män;7 462;635;8,5;67;12;29;3;23;177;36;45;64;22;23;3;29;7;1;16;19;260;57;8;16;118;14;2;1;-;;;;
;Nybro;Båda könen;20 350;3 689;18,1;289;105;152;2;30;717;137;275;625;148;245;21;214;55;71;39;47;1 749;82;147;64;1 113;74;3;4;2;;;;
;Nybro;Kvinnor;9 958;1 738;17,5;161;48;92;1;20;332;72;130;321;74;125;8;95;23;31;20;28;778;25;66;28;445;56;1;2;-;;;;
;Nybro;Män;10 392;1 951;18,8;128;57;60;1;10;385;65;145;304;74;120;13;119;32;40;19;19;971;57;81;36;668;18;2;2;2;;;;
;Oskarshamn;Båda könen;26 928;3 821;14,2;301;39;212;7;43;611;142;174;819;347;249;46;239;41;64;46;79;1 711;132;178;37;701;99;9;4;2;;;;
;Oskarshamn;Kvinnor;13 225;1 870;14,1;168;16;128;3;21;298;90;82;402;176;122;15;107;19;31;26;51;811;43;77;15;297;79;2;4;1;;;;
;Oskarshamn;Män;13 703;1 951;14,2;133;23;84;4;22;313;52;92;417;171;127;31;132;22;33;20;28;900;89;101;22;404;20;7;-;1;;;;
;Torsås;Båda könen;7 098;863;12,2;92;37;43;1;11;284;79;103;60;25;11;5;72;43;8;7;17;327;18;7;4;187;35;1;2;1;;;;
;Torsås;Kvinnor;3 400;434;12,8;51;17;30;-;4;146;46;55;33;14;6;3;35;19;6;4;9;155;1;3;2;75;26;-;1;-;;;;
;Torsås;Män;3 698;429;11,6;41;20;13;1;7;138;33;48;27;11;5;2;37;24;2;3;8;172;17;4;2;112;9;1;1;1;;;;
;Vimmerby;Båda könen;15 764;2 040;12,9;130;24;85;7;14;352;98;121;232;45;75;10;135;43;30;20;47;1 115;145;75;43;661;36;3;3;3;;;;
;Vimmerby;Kvinnor;7 705;961;12,5;79;8;58;2;11;170;50;62;119;26;35;4;65;18;13;8;27;487;55;31;22;264;30;2;2;2;;;;
;Vimmerby;Män;8 059;1 079;13,4;51;16;27;5;3;182;48;59;113;19;40;6;70;25;17;12;20;628;90;44;21;397;6;1;1;1;;;;
;Västervik;Båda könen;36 680;4 218;11,5;470;68;320;6;76;859;140;253;682;182;181;68;329;138;76;45;110;1 707;137;140;32;876;81;6;4;6;;;;
;Västervik;Kvinnor;18 254;2 068;11,3;265;34;185;5;41;418;79;122;347;98;81;27;155;68;32;19;60;797;34;64;14;377;62;4;1;2;;;;
;Västervik;Män;18 426;2 150;11,7;205;34;135;1;35;441;61;131;335;84;100;41;174;70;44;26;50;910;103;76;18;499;19;2;3;4;;;;
Gotlands län;;Båda könen;59 249;4 455;7,5;700;87;454;13;146;1 017;207;194;320;35;36;74;325;35;34;145;132;1 754;242;157;113;522;235;28;28;6;;;;
Gotlands län;;Kvinnor;29 676;2 116;7,1;413;45;285;7;76;436;84;105;165;17;15;25;122;10;10;62;62;835;77;64;46;208;191;8;10;3;;;;
Gotlands län;;Män;29 573;2 339;7,9;287;42;169;6;70;581;123;89;155;18;21;49;203;25;24;83;70;919;165;93;67;314;44;20;18;3;;;;
;Gotland;Båda könen;59 249;4 455;7,5;700;87;454;13;146;1 017;207;194;320;35;36;74;325;35;34;145;132;1 754;242;157;113;522;235;28;28;6;;;;
;Gotland;Kvinnor;29 676;2 116;7,1;413;45;285;7;76;436;84;105;165;17;15;25;122;10;10;62;62;835;77;64;46;208;191;8;10;3;;;;
;Gotland;Män;29 573;2 339;7,9;287;42;169;6;70;581;123;89;155;18;21;49;203;25;24;83;70;919;165;93;67;314;44;20;18;3;;;;
Blekinge län;;Båda könen;159 684;24 325;15,2;2 346;666;1 259;79;342;4 679;1 599;762;3 637;1 002;1 302;170;1 177;137;353;322;423;11 636;936;1 246;381;5 447;591;53;26;26;;;;
Blekinge län;;Kvinnor;78 253;11 731;15,0;1 211;311;675;46;179;2 410;923;371;1 828;500;621;67;539;53;171;173;221;5 299;322;551;147;2 411;467;22;18;10;;;;
Blekinge län;;Män;81 431;12 594;15,5;1 135;355;584;33;163;2 269;676;391;1 809;502;681;103;638;84;182;149;202;6 337;614;695;234;3 036;124;31;8;16;;;;
;Karlshamn;Båda könen;32 330;4 528;14,0;434;167;178;11;78;927;292;168;617;118;210;34;185;19;49;50;52;2 245;226;311;67;1 013;122;8;8;2;;;;
;Karlshamn;Kvinnor;16 024;2 262;14,1;237;78;111;7;41;488;167;83;311;55;92;17;86;7;22;27;32;1 073;85;152;28;422;95;3;4;1;;;;
;Karlshamn;Män;16 306;2 266;13,9;197;89;67;4;37;439;125;85;306;63;118;17;99;12;27;23;20;1 172;141;159;39;591;27;5;4;1;;;;
;Karlskrona;Båda könen;66 675;8 846;13,3;528;176;216;25;111;1 563;491;277;1 463;452;404;55;556;50;163;186;233;4 259;353;623;258;1 154;154;31;11;16;;;;
;Karlskrona;Kvinnor;32 392;4 118;12,7;294;85;133;17;59;796;290;136;721;232;182;14;240;13;79;101;116;1 821;122;270;104;496;119;14;10;5;;;;
;Karlskrona;Män;34 283;4 728;13,8;234;91;83;8;52;767;201;141;742;220;222;41;316;37;84;85;117;2 438;231;353;154;658;35;17;1;11;;;;
;Olofström;Båda könen;13 516;3 389;25,1;729;108;584;7;30;718;316;58;607;169;299;37;78;36;11;14;18;1 222;158;56;12;712;124;-;2;1;;;;
;Olofström;Kvinnor;6 602;1 715;26,0;339;48;272;3;16;389;190;24;310;85;156;14;40;16;4;6;13;617;56;24;4;340;102;-;-;1;;;;
;Olofström;Män;6 914;1 674;24,2;390;60;312;4;14;329;126;34;297;84;143;23;38;20;7;8;5;605;102;32;8;372;22;-;2;-;;;;
;Ronneby;Båda könen;29 695;5 325;17,9;399;151;169;20;59;664;184;165;689;164;305;22;172;16;25;47;96;3 238;150;178;35;2 250;103;11;5;4;;;;
;Ronneby;Kvinnor;14 590;2 504;17,2;203;71;94;9;29;334;107;86;346;82;146;9;79;9;10;26;47;1 458;48;72;10;1 027;79;5;4;2;;;;
;Ronneby;Män;15 105;2 821;18,7;196;80;75;11;30;330;77;79;343;82;159;13;93;7;15;21;49;1 780;102;106;25;1 223;24;6;1;2;;;;
;Sölvesborg;Båda könen;17 468;2 237;12,8;256;64;112;16;64;807;316;94;261;99;84;22;186;16;105;25;24;672;49;78;9;318;88;3;-;3;;;;
;Sölvesborg;Kvinnor;8 645;1 132;13,1;138;29;65;10;34;403;169;42;140;46;45;13;94;8;56;13;13;330;11;33;1;126;72;-;-;1;;;;
;Sölvesborg;Män;8 823;1 105;12,5;118;35;47;6;30;404;147;52;121;53;39;9;92;8;49;12;11;342;38;45;8;192;16;3;-;2;;;;
Skåne län;;Båda könen;1 362 164;301 206;22,1;32 030;20 229;6 808;1 615;3 378;67 851;21 376;8 073;56 205;14 014;20 230;5 108;17 268;1 603;3 913;5 660;7 576;112 708;8 905;24 586;7 693;27 729;4 798;923;589;396;;;;
Skåne län;;Kvinnor;682 259;149 424;21,9;16 432;9 361;4 337;857;1 877;34 567;11 859;4 388;28 421;7 127;10 273;2 179;7 953;646;1 989;2 774;4 068;54 299;3 337;11 291;3 598;12 000;3 799;348;391;171;;;;
Skåne län;;Män;679 905;151 782;22,3;15 598;10 868;2 471;758;1 501;33 284;9 517;3 685;27 784;6 887;9 957;2 929;9 315;957;1 924;2 886;3 508;58 409;5 568;13 295;4 095;15 729;999;575;198;225;;;;
;Bjuv;Båda könen;15 501;3 834;24,7;552;360;147;7;38;1 169;326;64;716;62;363;61;90;20;2;26;22;1 241;69;154;24;519;93;4;8;6;;;;
;Bjuv;Kvinnor;7 548;1 884;25,0;253;146;85;1;21;557;162;27;352;26;186;28;42;5;1;7;14;650;25;67;7;259;81;2;5;2;;;;
;Bjuv;Män;7 953;1 950;24,5;299;214;62;6;17;612;164;37;364;36;177;33;48;15;1;19;8;591;44;87;17;260;12;2;3;4;;;;
;Bromölla;Båda könen;12 876;2 119;16,5;289;85;158;20;26;609;224;75;172;49;56;31;124;38;25;18;7;892;58;113;26;481;92;4;1;3;;;;
;Bromölla;Kvinnor;6 316;1 080;17,1;158;43;87;12;16;313;124;39;82;24;30;8;53;16;11;12;3;456;17;56;11;211;77;-;1;2;;;;
;Bromölla;Män;6 560;1 039;15,8;131;42;71;8;10;296;100;36;90;25;26;23;71;22;14;6;4;436;41;57;15;270;15;4;-;1;;;;
;Burlöv;Båda könen;18 360;5 925;32,3;405;260;86;21;38;1 336;566;109;1 564;408;605;117;291;22;56;54;140;2 120;326;715;187;224;71;9;6;-;;;;
;Burlöv;Kvinnor;9 091;2 889;31,8;210;127;51;12;20;671;287;63;765;210;285;51;139;12;30;26;70;1 001;137;322;78;104;53;4;3;-;;;;
;Burlöv;Män;9 269;3 036;32,8;195;133;35;9;18;665;279;46;799;198;320;66;152;10;26;28;70;1 119;189;393;109;120;18;5;3;-;;;;
;Båstad;Båda könen;14 948;2 029;13,6;231;100;68;4;59;634;166;110;310;42;132;19;100;23;14;47;73;622;62;42;20;278;55;10;2;-;;;;
;Båstad;Kvinnor;7 518;1 033;13,7;122;42;41;3;36;310;87;60;152;24;62;8;54;10;9;24;43;326;20;23;13;123;50;1;1;-;;;;
;Båstad;Män;7 430;996;13,4;109;58;27;1;23;324;79;50;158;18;70;11;46;13;5;23;30;296;42;19;7;155;5;9;1;-;;;;
;Eslöv;Båda könen;33 557;6 198;18,5;662;388;190;32;52;1 274;519;160;1 679;317;677;101;377;51;154;99;99;1 989;287;254;119;578;190;7;6;6;;;;
;Eslöv;Kvinnor;16 558;3 090;18,7;360;190;121;17;32;620;273;78;844;163;328;49;177;14;91;50;52;978;101;127;53;261;138;1;5;3;;;;
;Eslöv;Män;16 999;3 108;18,3;302;198;69;15;20;654;246;82;835;154;349;52;200;37;63;49;47;1 011;186;127;66;317;52;6;1;3;;;;
;Helsingborg;Båda könen;145 415;37 288;25,6;3 343;2 121;723;128;371;6 776;1 819;779;8 459;1 872;3 379;729;1 461;76;109;521;508;16 050;561;3 497;764;4 177;623;75;56;39;;;;
;Helsingborg;Kvinnor;73 401;18 633;25,4;1 785;999;493;71;222;3 511;1 092;433;4 284;960;1 728;298;650;40;45;260;284;7 772;212;1 593;338;1 835;514;30;41;16;;;;
;Helsingborg;Män;72 014;18 655;25,9;1 558;1 122;230;57;149;3 265;727;346;4 175;912;1 651;431;811;36;64;261;224;8 278;349;1 904;426;2 342;109;45;15;23;;;;
;Hässleholm;Båda könen;52 121;8 586;16,5;923;581;215;49;78;2 143;725;193;1 269;320;501;92;330;92;15;127;133;3 626;288;685;70;1 407;145;8;13;14;;;;
;Hässleholm;Kvinnor;25 836;4 251;16,5;478;269;141;23;45;1 097;397;97;640;156;241;37;148;41;8;64;79;1 724;106;319;29;595;111;3;10;8;;;;
;Hässleholm;Män;26 285;4 335;16,5;445;312;74;26;33;1 046;328;96;629;164;260;55;182;51;7;63;54;1 902;182;366;41;812;34;5;3;6;;;;
;Höganäs;Båda könen;26 566;3 569;13,4;590;356;110;37;87;1 298;420;160;383;116;116;18;133;36;18;93;61;990;77;160;63;334;61;17;3;1;;;;
;Höganäs;Kvinnor;13 361;1 772;13,3;318;177;78;19;44;634;198;102;203;60;58;10;56;16;6;47;28;477;18;72;27;142;44;6;3;-;;;;
;Höganäs;Män;13 205;1 797;13,6;272;179;32;18;43;664;222;58;180;56;58;8;77;20;12;46;33;513;59;88;36;192;17;11;-;1;;;;
;Hörby;Båda könen;15 635;2 011;12,9;320;194;62;22;42;562;245;82;382;64;142;8;56;7;1;28;38;611;94;114;42;141;77;8;4;2;;;;
;Hörby;Kvinnor;7 712;966;12,5;167;87;45;9;26;257;109;44;178;30;68;2;28;2;1;14;24;292;26;49;16;58;59;3;3;-;;;;
;Hörby;Män;7 923;1 045;13,2;153;107;17;13;16;305;136;38;204;34;74;6;28;5;-;14;14;319;68;65;26;83;18;5;1;2;;;;
;Höör;Båda könen;16 637;2 017;12,1;452;302;85;18;47;602;151;126;304;87;117;8;81;13;20;57;64;440;88;21;11;121;69;14;-;3;;;;
;Höör;Kvinnor;8 245;1 021;12,4;251;155;53;11;32;299;86;66;156;45;58;1;26;3;3;26;30;225;21;5;4;49;61;7;-;1;;;;
;Höör;Män;8 392;996;11,9;201;147;32;7;15;303;65;60;148;42;59;7;55;10;17;31;34;215;67;16;7;72;8;7;-;2;;;;
;Klippan;Båda könen;17 600;3 222;18,3;658;496;91;17;54;1 201;577;121;347;80;83;44;138;27;19;19;48;801;64;50;15;396;65;4;2;4;;;;
;Klippan;Kvinnor;8 586;1 586;18,5;335;236;56;11;32;587;280;68;165;38;36;18;63;7;10;7;30;394;17;20;5;181;51;1;1;3;;;;
;Klippan;Män;9 014;1 636;18,1;323;260;35;6;22;614;297;53;182;42;47;26;75;20;9;12;18;407;47;30;10;215;14;3;1;1;;;;
;Kristianstad;Båda könen;84 908;15 606;18,4;927;379;323;95;130;2 893;1 066;342;2 589;643;1 144;101;1 253;161;504;181;270;7 430;430;2 345;119;2 327;243;30;12;21;;;;
;Kristianstad;Kvinnor;42 571;7 534;17,7;496;187;192;42;75;1 473;561;180;1 301;322;586;43;606;79;259;90;147;3 398;147;1 041;53;979;182;8;7;8;;;;
;Kristianstad;Män;42 337;8 072;19,1;431;192;131;53;55;1 420;505;162;1 288;321;558;58;647;82;245;91;123;4 032;283;1 304;66;1 348;61;22;5;13;;;;
;Kävlinge;Båda könen;31 491;3 305;10,5;509;295;118;50;46;1 132;421;160;347;60;106;47;171;54;20;87;118;914;111;94;57;248;108;20;5;2;;;;
;Kävlinge;Kvinnor;15 689;1 683;10,7;249;123;73;28;25;588;239;85;173;29;51;23;88;24;11;40;67;469;35;37;24;113;89;5;4;-;;;;
;Kävlinge;Män;15 802;1 622;10,3;260;172;45;22;21;544;182;75;174;31;55;24;83;30;9;47;51;445;76;57;33;135;19;15;1;2;;;;
;Landskrona;Båda könen;45 775;12 420;27,1;1 399;909;341;26;123;2 249;785;272;4 177;1 229;1 595;227;439;16;78;113;135;3 853;194;784;68;1 192;193;22;16;17;;;;
;Landskrona;Kvinnor;22 781;6 148;27,0;697;428;194;13;62;1 125;427;156;2 073;611;815;94;214;8;48;63;78;1 866;80;373;24;522;153;11;10;11;;;;
;Landskrona;Män;22 994;6 272;27,3;702;481;147;13;61;1 124;358;116;2 104;618;780;133;225;8;30;50;57;1 987;114;411;44;670;40;11;6;6;;;;
;Lomma;Båda könen;24 763;2 432;9,8;387;187;89;31;80;734;164;138;190;57;47;7;108;20;1;98;92;797;111;87;109;152;65;23;2;1;;;;
;Lomma;Kvinnor;12 393;1 243;10,0;203;83;57;19;44;382;98;75;99;30;21;3;51;9;-;49;51;401;39;33;51;70;42;7;-;-;;;;
;Lomma;Män;12 370;1 189;9,6;184;104;32;12;36;352;66;63;91;27;26;4;57;11;1;49;41;396;72;54;58;82;23;16;2;1;;;;
;Lund;Båda könen;122 948;26 636;21,7;2 351;903;699;403;346;7 474;1 484;1 269;2 791;452;669;448;1 766;215;159;1 192;1 137;9 645;619;1 773;1 277;1 178;359;160;94;26;;;;
;Lund;Kvinnor;61 875;13 548;21,9;1 334;436;472;218;208;3 871;873;694;1 475;225;335;205;783;86;76;598;609;4 738;235;826;597;477;266;71;58;11;;;;
;Lund;Män;61 073;13 088;21,4;1 017;467;227;185;138;3 603;611;575;1 316;227;334;243;983;129;83;594;528;4 907;384;947;680;701;93;89;36;15;;;;
;Malmö;Båda könen;339 313;114 772;33,8;10 238;7 446;1 559;319;914;22 231;6 912;2 033;22 862;6 403;7 721;2 463;8 235;228;2 422;1 886;3 701;44 776;4 004;11 790;4 061;7 440;1 176;353;291;199;;;;
;Malmö;Kvinnor;171 333;56 752;33,1;5 108;3 419;1 038;165;486;11 649;4 070;1 103;11 671;3 311;4 045;1 054;3 801;79;1 235;889;1 947;21 302;1 627;5 448;1 973;3 182;920;122;190;73;;;;
;Malmö;Män;167 980;58 020;34,5;5 130;4 027;521;154;428;10 582;2 842;930;11 191;3 092;3 676;1 409;4 434;149;1 187;997;1 754;23 474;2 377;6 342;2 088;4 258;256;231;101;126;;;;
;Osby;Båda könen;13 267;2 285;17,2;256;159;70;-;27;527;119;60;293;136;58;27;88;16;3;42;30;1 043;74;260;21;502;42;3;1;2;;;;
;Osby;Kvinnor;6 589;1 139;17,3;130;71;41;-;18;271;68;37;151;69;32;9;46;8;2;25;17;495;30;124;9;215;35;1;1;2;;;;
;Osby;Män;6 678;1 146;17,2;126;88;29;-;9;256;51;23;142;67;26;18;42;8;1;17;13;548;44;136;12;287;7;2;-;-;;;;
;Perstorp;Båda könen;7 479;1 886;25,2;304;182;89;1;32;381;114;48;206;27;72;10;38;11;-;11;31;908;25;82;5;502;45;4;3;-;;;;
;Perstorp;Kvinnor;3 630;904;24,9;146;82;49;1;14;180;53;21;105;13;37;2;16;5;-;8;16;427;5;37;1;219;31;3;3;-;;;;
;Perstorp;Män;3 849;982;25,5;158;100;40;-;18;201;61;27;101;14;35;8;22;6;-;3;15;481;20;45;4;283;14;1;-;-;;;;
;Simrishamn;Båda könen;19 278;2 539;13,2;348;167;115;3;63;635;179;118;272;94;76;18;152;67;7;78;80;952;112;58;21;526;83;13;5;4;;;;
;Simrishamn;Kvinnor;9 770;1 240;12,7;198;85;82;2;29;307;100;61;139;51;42;6;58;19;3;36;45;443;27;23;9;228;66;6;5;3;;;;
;Simrishamn;Män;9 508;1 299;13,7;150;82;33;1;34;328;79;57;133;43;34;12;94;48;4;42;35;509;85;35;12;298;17;7;-;1;;;;
;Sjöbo;Båda könen;19 153;2 041;10,7;429;285;76;15;53;845;396;98;159;15;53;9;86;19;4;38;32;442;79;43;19;95;62;7;1;2;;;;
;Sjöbo;Kvinnor;9 378;1 022;10,9;205;119;49;11;26;412;201;55;83;8;28;4;42;8;2;20;20;234;23;21;7;34;56;3;1;2;;;;
;Sjöbo;Män;9 775;1 019;10,4;224;166;27;4;27;433;195;43;76;7;25;5;44;11;2;18;12;208;56;22;12;61;6;4;-;-;;;;
;Skurup;Båda könen;15 759;2 085;13,2;460;337;65;9;49;577;268;89;193;31;81;24;89;13;2;38;53;662;55;62;36;302;48;6;5;2;;;;
;Skurup;Kvinnor;7 829;1 040;13,3;233;160;38;4;31;271;133;43;90;13;37;10;43;5;2;15;29;351;23;26;18;136;37;3;4;1;;;;
;Skurup;Män;7 930;1 045;13,2;227;177;27;5;18;306;135;46;103;18;44;14;46;8;-;23;24;311;32;36;18;166;11;3;1;1;;;;
;Staffanstorp;Båda könen;24 724;3 294;13,3;541;250;100;142;49;884;242;121;524;107;217;30;136;15;1;79;85;1 025;78;255;111;121;78;13;5;2;;;;
;Staffanstorp;Kvinnor;12 481;1 738;13,9;286;125;59;77;25;447;130;71;274;54;105;20;69;4;1;46;50;555;30;123;55;55;65;8;1;2;;;;
;Staffanstorp;Män;12 243;1 556;12,7;255;125;41;65;24;437;112;50;250;53;112;10;67;11;-;33;35;470;48;132;56;66;13;5;4;-;;;;
;Svalöv;Båda könen;14 123;2 457;17,4;417;303;72;7;35;827;262;79;310;76;90;7;143;21;64;37;39;665;50;87;17;284;54;11;4;4;;;;
;Svalöv;Kvinnor;6 736;1 155;17,1;196;136;39;3;18;383;132;40;138;33;42;1;63;8;27;16;23;324;11;35;6;134;43;5;3;4;;;;
;Svalöv;Män;7 387;1 302;17,6;221;167;33;4;17;444;130;39;172;43;48;6;80;13;37;21;16;341;39;52;11;150;11;6;1;-;;;;
;Svedala;Båda könen;21 576;2 414;11,2;418;309;47;30;32;759;314;84;289;72;107;12;117;13;21;47;63;700;72;68;77;217;51;12;4;5;;;;
;Svedala;Kvinnor;10 724;1 170;10,9;195;129;31;20;15;355;161;40;149;33;52;8;51;4;8;26;29;361;24;27;38;96;42;2;1;1;;;;
;Svedala;Män;10 852;1 244;11,5;223;180;16;10;17;404;153;44;140;39;55;4;66;9;13;21;34;339;48;41;39;121;9;10;3;4;;;;
;Tomelilla;Båda könen;13 557;1 726;12,7;205;110;53;11;31;514;255;53;271;70;100;5;105;12;42;24;13;588;82;70;9;301;39;3;-;3;;;;
;Tomelilla;Kvinnor;6 704;833;12,4;111;52;39;3;17;239;121;25;131;35;41;-;52;4;26;13;5;280;27;34;6;124;35;1;-;1;;;;
;Tomelilla;Män;6 853;893;13,0;94;58;14;8;14;275;134;28;140;35;59;5;53;8;16;11;8;308;55;36;3;177;4;2;-;2;;;;
;Trelleborg;Båda könen;44 902;7 711;17,2;1 190;732;326;44;88;2 012;806;320;2 218;566;860;108;194;18;14;100;101;1 861;101;284;111;645;136;18;9;8;;;;
;Trelleborg;Kvinnor;22 381;3 745;16,7;587;335;181;22;49;937;385;166;1 108;283;414;44;78;7;8;43;54;921;33;133;55;259;117;6;5;6;;;;
;Trelleborg;Män;22 521;3 966;17,6;603;397;145;22;39;1 075;421;154;1 110;283;446;64;116;11;6;57;47;940;68;151;56;386;19;12;4;2;;;;
;Vellinge;Båda könen;36 499;3 434;9,4;864;604;108;28;124;1 144;293;238;264;31;82;23;131;20;14;176;86;733;150;41;49;145;84;26;8;2;;;;
;Vellinge;Kvinnor;18 429;1 751;9,5;405;261;69;16;59;581;160;137;147;17;40;12;56;9;6;101;51;393;56;17;25;61;68;11;5;1;;;;
;Vellinge;Män;18 070;1 683;9,3;459;343;39;12;65;563;133;101;117;14;42;11;75;11;8;75;35;340;94;24;24;84;16;15;3;1;;;;
;Ystad;Båda könen;30 226;3 216;10,6;496;255;164;11;66;1 029;485;168;344;108;112;20;133;11;29;59;81;1 054;125;159;43;371;87;12;6;2;;;;
;Ystad;Kvinnor;15 420;1 663;10,8;269;125;106;6;32;580;300;101;167;46;58;5;62;4;13;25;47;503;33;76;15;160;70;2;6;2;;;;
;Ystad;Män;14 806;1 553;10,5;227;130;58;5;34;449;185;67;177;62;54;15;71;7;16;34;34;551;92;83;28;211;17;10;-;-;;;;
;Åstorp;Båda könen;15 987;4 099;25,6;452;313;94;12;33;1 105;352;79;803;153;321;52;92;10;5;36;63;1 535;122;189;50;642;79;3;5;5;;;;
;Åstorp;Kvinnor;7 770;1 968;25,3;220;143;55;5;17;527;179;38;378;79;136;22;46;2;2;21;33;734;43;87;16;286;64;3;4;2;;;;
;Åstorp;Män;8 217;2 131;25,9;232;170;39;7;16;578;173;41;425;74;185;30;46;8;3;15;30;801;79;102;34;356;15;-;1;3;;;;
;Ängelholm;Båda könen;42 131;5 225;12,4;684;363;199;11;111;1 348;378;194;1 109;170;399;198;208;28;46;198;121;1 525;205;129;41;429;107;18;7;7;;;;
;Ängelholm;Kvinnor;21 439;2 669;12,4;391;183;132;7;69;664;188;116;552;85;205;86;104;9;20;90;67;780;73;62;16;189;84;10;6;5;;;;
;Ängelholm;Män;20 692;2 556;12,4;293;180;67;4;42;684;190;78;557;85;194;112;104;19;26;108;54;745;132;67;25;240;23;8;1;2;;;;
;Örkelljunga;Båda könen;10 174;1 839;18,1;445;362;45;6;32;485;184;68;241;34;100;34;73;19;19;18;28;540;64;26;23;297;48;3;5;1;;;;
;Örkelljunga;Kvinnor;4 934;861;17,5;195;147;27;3;18;242;94;34;114;14;49;12;33;7;10;9;17;246;16;15;6;124;38;1;4;-;;;;
;Örkelljunga;Män;5 240;978;18,7;250;215;18;3;14;243;90;34;127;20;51;22;40;12;9;9;11;294;48;11;17;173;10;2;1;1;;;;
;Östra Göinge;Båda könen;14 915;2 986;20,0;285;136;121;6;22;462;159;63;168;63;49;10;330;211;25;33;24;1 678;68;95;28;1 157;70;3;-;3;;;;
;Östra Göinge;Kvinnor;7 231;1 413;19,5;141;61;63;3;14;227;91;33;82;30;22;6;155;92;15;14;9;783;20;40;13;519;57;1;-;1;;;;
;Östra Göinge;Män;7 684;1 573;20,5;144;75;58;3;8;235;68;30;86;33;27;4;175;119;10;19;15;895;48;55;15;638;13;2;-;2;;;;
Hallands län;;Båda könen;329 352;46 012;14,0;5 196;1 831;1 940;235;1 190;10 275;2 685;1 589;9 439;1 667;4 431;702;2 103;367;603;915;1 176;16 655;670;1 691;730;7 111;1 378;161;63;29;;;;
Hallands län;;Kvinnor;164 309;22 849;13,9;2 873;864;1 253;106;650;5 013;1 479;844;4 719;868;2 207;292;914;140;281;445;590;8 181;190;750;346;3 080;1 124;57;45;12;;;;
Hallands län;;Män;165 043;23 163;14,0;2 323;967;687;129;540;5 262;1 206;745;4 720;799;2 224;410;1 189;227;322;470;586;8 474;480;941;384;4 031;254;104;18;17;;;;
;Falkenberg;Båda könen;44 701;6 422;14,4;703;240;270;36;157;1 238;386;221;1 320;194;624;127;387;31;220;83;87;2 575;86;247;51;1 105;255;22;3;4;;;;
;Falkenberg;Kvinnor;22 173;3 172;14,3;377;114;169;20;74;587;211;105;665;109;305;55;185;14;106;39;51;1 257;19;104;18;471;216;6;3;2;;;;
;Falkenberg;Män;22 528;3 250;14,4;326;126;101;16;83;651;175;116;655;85;319;72;202;17;114;44;36;1 318;67;143;33;634;39;16;-;2;;;;
;Halmstad;Båda könen;101 268;18 792;18,6;1 533;489;645;69;330;3 492;841;463;5 214;1 006;2 527;390;780;138;164;270;475;6 971;211;1 115;276;2 773;386;29;19;9;;;;
;Halmstad;Kvinnor;50 638;9 221;18,2;857;229;415;27;186;1 747;479;259;2 632;524;1 289;166;346;53;80;136;221;3 257;59;497;125;1 196;306;8;14;3;;;;
;Halmstad;Män;50 630;9 571;18,9;676;260;230;42;144;1 745;362;204;2 582;482;1 238;224;434;85;84;134;254;3 714;152;618;151;1 577;80;21;5;6;;;;
;Hylte;Båda könen;10 914;2 823;25,9;375;186;155;2;32;594;141;142;351;58;172;6;179;10;124;12;12;1 291;18;10;6;902;72;2;1;6;;;;
;Hylte;Kvinnor;5 308;1 360;25,6;198;80;94;-;24;284;63;74;169;31;73;2;73;2;52;7;7;618;5;4;-;405;56;1;1;2;;;;
;Hylte;Män;5 606;1 463;26,1;177;106;61;2;8;310;78;68;182;27;99;4;106;8;72;5;5;673;13;6;6;497;16;1;-;4;;;;
;Kungsbacka;Båda könen;83 348;7 300;8,8;1 141;328;424;39;350;2 261;603;385;482;111;101;59;386;92;56;278;250;2 392;167;106;275;697;256;75;30;5;;;;
;Kungsbacka;Kvinnor;41 869;3 744;8,9;639;171;267;20;181;1 093;337;210;247;52;56;20;152;29;27;131;135;1 299;56;48;140;314;208;25;20;3;;;;
